WAST,DP,Dta,Dts,EV,QFE,QFF,QNH,RF,RH,S,SR,ST1,ST2,ST3,ST4,Sx,T
1/01/2007 13:10,14.1,236,30,56.1,1006.6,1010,1010.2,0,51.6,10,1058,31.9,28.5,28.1,26,19,24.76
1/01/2007 13:20,15.3,231,32,56.62,1006.5,1009.9,1010.1,0,52.8,8,1059,32.3,28.5,28.1,26,16,25.62
1/01/2007 13:30,13,221,28,57.16,1006.5,1009.9,1010.1,0,48.7,8,1042,32.6,28.6,28.1,26,16,24.54
1/01/2007 13:40,14.4,2,76,57.65,1006.4,1009.8,1010,0,50.5,7,1036,32.9,28.6,28.1,26,14,25.39
1/01/2007 13:50,13.5,242,29,58.28,1006.4,1009.8,1010,0,47.6,10,1023,33.2,28.6,28.1,26,17,25.47
1/01/2007 14:00,15,234,29,58.83,1006.4,1009.8,1010,0,51.8,9,1004,33.5,28.6,28.1,26,14,25.62
1/01/2007 14:10,15,237,29,59.39,1006.4,1009.8,1010,0,50.9,9,1003,33.8,28.6,28.1,26,18,25.94
1/01/2007 14:20,14.4,238,27,60.04,1006.4,1009.8,1010,0,52.2,12,995,34.1,28.6,28.1,26,21,24.83
1/01/2007 14:30,15.9,238,30,60.6,1006.3,1009.7,1009.9,0,54.5,10,975,34.3,28.7,28.1,26,19,25.79
1/01/2007 14:40,15.4,245,28,61.2,1006.3,1009.7,1009.9,0,53.7,11,969,34.6,28.7,28.1,26,20,25.42
1/01/2007 14:50,16,258,29,61.78,1006.1,1009.5,1009.7,0,55.8,11,961,34.9,28.7,28.1,26,20,25.46
1/01/2007 15:00,15.7,253,25,62.34,1006.1,1009.5,1009.7,0,56.7,11,938,35.2,28.7,28.1,26,19,24.86
1/01/2007 15:10,15.8,254,27,62.9,1006.1,1009.5,1009.7,0,53.7,10,913,35.4,28.8,28.1,26,18,25.86
1/01/2007 15:20,15.5,244,31,63.41,1005.9,1009.3,1009.5,0,54.5,9,904,35.6,28.8,28.1,26,17,25.34
1/01/2007 15:30,16.1,257,25,64,1005.8,1009.2,1009.4,0,56.9,12,914,35.9,28.8,28.1,26,17,25.26
1/01/2007 15:40,16.1,262,31,64.57,1005.8,1009.2,1009.4,0,56.8,11,973,36.1,28.9,28.1,26,18,25.24
1/01/2007 15:50,16.2,257,27,65.1,1005.7,1009.1,1009.3,0,57,10,961,36.3,28.9,28.1,26,18,25.34
1/01/2007 16:00,15.8,254,28,65.58,1005.7,1009.1,1009.3,0,58.1,9,905,36.5,28.9,28.1,26,18,24.58
1/01/2007 16:10,16,238,25,65.98,1005.5,1008.9,1009.1,0,57.6,8,581,36.7,29,28.1,26,15,24.94
1/01/2007 16:20,15.5,245,30,66.47,1005.8,1009.2,1009.4,0,58.1,10,812,36.8,29.1,28,26,16,24.31
1/01/2007 16:30,14.8,242,28,66.86,1006,1009.4,1009.6,0,57,10,135,37,29.1,28,26,17,23.88
1/01/2007 16:40,15.4,245,29,67.26,1005.9,1009.3,1009.5,0,58.7,11,112,37.1,29.1,28.1,26,18,23.98
1/01/2007 16:50,15.6,241,28,67.69,1005.9,1009.3,1009.5,0,60.4,10,572,37.3,29.2,28.1,26,17,23.71
1/01/2007 17:00,15.8,241,28,68.15,1006,1009.4,1009.6,0,61.5,11,656,37.4,29.2,28,26,18,23.64
1/01/2007 17:10,15.8,250,24,68.62,1005.9,1009.3,1009.5,0,60.3,11,629,37.4,29.3,28,26,17,24
1/01/2007 17:20,15,260,22,69.06,1005.8,1009.2,1009.4,0,58.3,12,162,37.5,29.3,28,26,21,23.65
1/01/2007 17:30,15.7,247,22,69.51,1005.7,1009.1,1009.3,0,60.3,11,550,37.5,29.4,28,26,19,23.86
1/01/2007 17:40,15.5,249,25,69.84,1005.8,1009.2,1009.4,0,61.1,9,198,37.5,29.5,28,26,17,23.41
1/01/2007 17:50,16,233,32,70.16,1005.8,1009.2,1009.4,0,65.1,8,505,37.5,29.5,28,26,15,22.91
1/01/2007 18:00,16.1,256,19,70.51,1005.8,1009.2,1009.4,0,64.2,9,503,37.5,29.5,28,26,15,23.29
1/01/2007 18:10,15.4,251,27,70.86,1005.7,1009.1,1009.3,0,61.2,9,360,37.4,29.6,28,26,16,23.34
1/01/2007 18:20,15.3,248,24,71.2,1005.7,1009.1,1009.3,0,62.4,9,319,37.4,29.7,28,26,15,22.85
1/01/2007 18:30,15.3,238,27,71.5,1005.7,1009.1,1009.3,0,62.9,8,300,37.3,29.7,28,26,12,22.72
1/01/2007 18:40,15.4,246,27,71.73,1005.7,1009.1,1009.3,0,63.8,7,81,37.2,29.8,28,26,13,22.58
1/01/2007 18:50,15.6,244,20,71.98,1005.7,1009.1,1009.3,0,65.4,8,86,37.1,29.8,28,26,12,22.39
1/01/2007 19:00,15.3,246,26,72.21,1005.7,1009.1,1009.3,0,66.6,8,63,36.9,29.9,28,26,13,21.82
1/01/2007 19:10,15.5,241,27,72.39,1005.8,1009.2,1009.4,0,67.8,6,69,36.8,29.9,28,26,11,21.75
1/01/2007 19:20,15.4,231,27,72.57,1005.8,1009.2,1009.4,0,67.8,6,64,36.6,30,28,26,11,21.57
1/01/2007 19:30,15.3,245,22,72.79,1005.9,1009.3,1009.5,0,68.3,8,63,36.5,30,28,26,11,21.35
1/01/2007 19:40,15.3,230,26,72.95,1006,1009.4,1009.6,0,69.6,6,30,36.3,30.1,28,26,9,21.12
1/01/2007 19:50,15.4,229,26,73.1,1006,1009.4,1009.6,0,71,6,25,36.1,30.1,28,26,10,20.86
1/01/2007 20:00,15.6,234,26,73.22,1006.1,1009.5,1009.7,0,72.6,5,34,35.9,30.2,28,26.1,10,20.65
1/01/2007 20:10,15.7,232,18,73.33,1006.2,1009.6,1009.8,0,74.4,5,19,35.7,30.2,28,26,9,20.42
1/01/2007 20:20,15.7,233,16,73.42,1006.3,1009.7,1009.9,0,75.4,4,19,35.5,30.2,28,26,7,20.2
1/01/2007 20:30,15.6,231,18,73.51,1006.2,1009.6,1009.8,0,76,4,11,35.3,30.3,28,26,6,19.91
1/01/2007 20:40,15.4,235,15,73.6,1006.3,1009.7,1009.9,0,75.7,4,21,35.1,30.3,28,26,7,19.79
1/01/2007 20:50,15.5,244,14,73.67,1006.4,1009.8,1010,0,76.4,3,11,34.9,30.4,28,26.1,6,19.73
1/01/2007 21:00,15.5,242,10,73.73,1006.5,1009.9,1010.1,0,77.1,3,5,34.7,30.4,28,26,6,19.63
1/01/2007 21:10,15.7,237,19,73.82,1006.6,1010,1010.2,0,77.8,5,15,34.5,30.4,28,26,8,19.7
1/01/2007 21:20,15.8,239,15,73.89,1006.6,1010,1010.2,0,78.8,4,9,34.2,30.4,28,26,8,19.62
1/01/2007 21:30,16,237,16,73.96,1006.4,1009.8,1010,0,79.7,4,12,34.1,30.5,28,26.1,8,19.64
1/01/2007 21:40,16.1,230,17,74.01,1006.4,1009.8,1010,0,80.3,3,10,33.8,30.5,28,26,5,19.55
1/01/2007 21:50,16,237,18,74.08,1006.5,1009.9,1010.1,0,80.3,4,23,33.6,30.5,28,26,6,19.46
1/01/2007 22:00,15.8,234,11,74.15,1006.3,1009.7,1009.9,0,80.5,4,15,33.4,30.5,28,26,5,19.25
1/01/2007 22:10,15.8,238,10,74.22,1006.4,1009.8,1010,0,80.5,4,18,33.2,30.5,28,26.1,5,19.19
1/01/2007 22:20,15.7,236,9,74.27,1006.2,1009.6,1009.8,0,80.9,3,8,33,30.5,28,26,4,19.1
1/01/2007 22:30,15.7,232,13,74.32,1006.1,1009.5,1009.7,0,81.4,3,23,32.8,30.6,28,26.1,7,18.99
1/01/2007 22:40,15.7,240,11,74.38,1006,1009.4,1009.6,0,81.8,4,19,32.6,30.6,28,26,5,18.92
1/01/2007 22:50,15.7,241,6,74.44,1005.9,1009.3,1009.5,0,81.9,4,15,32.4,30.6,28,26.1,6,18.82
1/01/2007 23:00,15.6,242,6,74.5,1005.8,1009.2,1009.4,0,82.2,4,15,32.2,30.6,28,26.1,5,18.73
1/01/2007 23:10,15.5,241,9,74.56,1005.7,1009.2,1009.3,0,82.1,4,21,32,30.6,28,26,5,18.6
1/01/2007 23:20,15.2,238,7,74.61,1005.7,1009.2,1009.3,0,82.1,3,16,31.8,30.6,28,26,4,18.35
1/01/2007 23:30,15.4,234,6,74.65,1005.6,1009.1,1009.2,0,82.5,3,11,31.6,30.6,28,26.1,5,18.39
1/01/2007 23:40,15.4,236,7,74.7,1005.5,1009,1009.1,0,83,4,10,31.4,30.6,28,26.1,6,18.35
1/01/2007 23:50,15.5,238,7,74.75,1005.2,1008.7,1008.8,0,83.5,4,13,31.3,30.6,28,26.1,5,18.3
2/01/2007 0:00,15.5,243,9,74.8,1005.1,1008.6,1008.7,0,84.1,4,12,31.1,30.5,28,26,5,18.22
2/01/2007 0:10,15.6,242,7,74.84,1004.9,1008.4,1008.5,0,84.3,3,6,30.9,30.6,28,26.1,6,18.3
2/01/2007 0:20,15.6,246,6,74.89,1004.7,1008.2,1008.3,0,84.4,4,22,30.7,30.5,28.1,26.1,5,18.24
2/01/2007 0:30,15.5,250,7,74.94,1004.7,1008.2,1008.3,0,84.6,4,16,30.6,30.5,28,26.1,5,18.16
2/01/2007 0:40,15.5,249,6,74.98,1004.6,1008.1,1008.2,0,84.9,3,27,30.4,30.5,28.1,26.1,4,18.07
2/01/2007 0:50,15.6,257,5,75.02,1004.5,1008,1008.1,0,85.6,3,16,30.2,30.5,28,26.1,5,18.01
2/01/2007 1:00,15.7,245,5,75.06,1004.3,1007.8,1007.9,0,86.5,4,10,30.1,30.5,28.1,26.1,6,17.97
2/01/2007 1:10,15.7,241,5,75.09,1004.1,1007.6,1007.7,0,87,3,10,29.9,30.5,28.1,26.1,5,17.91
2/01/2007 1:20,15.7,248,6,75.12,1003.9,1007.4,1007.5,0,87.4,3,17,29.8,30.4,28.1,26.1,4,17.87
2/01/2007 1:30,15.9,243,5,75.16,1003.7,1007.2,1007.3,0,88.1,4,18,29.6,30.4,28.1,26,6,17.89
2/01/2007 1:40,15.7,254,4,75.19,1003.7,1007.2,1007.3,0,88.2,3,20,29.4,30.4,28.1,26.1,4,17.69
2/01/2007 1:50,15.9,242,8,75.22,1003.5,1007,1007.1,0,88.9,4,15,29.3,30.4,28.1,26.1,5,17.71
2/01/2007 2:00,15.7,239,6,75.25,1003.4,1006.9,1007,0,89,4,23,29.2,30.3,28.1,26.1,6,17.58
2/01/2007 2:10,15.7,232,8,75.27,1003.2,1006.7,1006.8,0,88.9,3,15,29,30.3,28.1,26.1,5,17.55
2/01/2007 2:20,15.7,232,13,75.3,1003,1006.5,1006.6,0,88.7,4,10,28.9,30.3,28.1,26.1,6,17.55
2/01/2007 2:30,15.9,234,15,75.34,1003,1006.5,1006.6,0,88.7,5,24,28.7,30.3,28.1,26.1,7,17.75
2/01/2007 2:40,16,233,19,75.38,1003,1006.4,1006.6,0,87.9,5,12,28.6,30.2,28.1,26.1,7,18.03
2/01/2007 2:50,16.3,231,17,75.42,1003,1006.4,1006.6,0,87.6,4,19,28.5,30.2,28.1,26.1,7,18.35
2/01/2007 3:00,16,233,18,75.46,1002.9,1006.3,1006.5,0,86.7,4,19,28.3,30.2,28.1,26.1,6,18.25
2/01/2007 3:10,15.9,232,13,75.5,1002.7,1006.1,1006.3,0,86.3,4,22,28.2,30.2,28.1,26.1,6,18.18
2/01/2007 3:20,15.8,233,15,75.55,1002.6,1006,1006.2,0,85.8,4,25,28.1,30.1,28.1,26.1,9,18.19
2/01/2007 3:30,15.8,232,11,75.59,1002.7,1006.1,1006.3,0,86,4,26,27.9,30.1,28.1,26,6,18.16
2/01/2007 3:40,15.9,230,16,75.63,1002.7,1006.1,1006.3,0,86.2,4,14,27.8,30.1,28.1,26.1,7,18.26
2/01/2007 3:50,15.9,238,20,75.68,1002.7,1006.1,1006.3,0,85.4,4,13,27.7,30,28.2,26.1,7,18.39
2/01/2007 4:00,15.8,230,16,75.72,1002.5,1005.9,1006.1,0,84.8,3,13,27.6,30,28.2,26.1,6,18.39
2/01/2007 4:10,15.5,232,21,75.77,1002.6,1006,1006.2,0,83.9,4,20,27.5,30,28.2,26.1,6,18.24
2/01/2007 4:20,15.4,234,13,75.82,1002.6,1006,1006.2,0,83.4,4,11,27.4,29.9,28.2,26.1,6,18.26
2/01/2007 4:30,15.6,244,14,75.87,1002.7,1006.1,1006.3,0,83.4,4,21,27.3,29.9,28.2,26.1,6,18.47
2/01/2007 4:40,15.6,243,17,75.93,1002.8,1006.2,1006.4,0,82.8,4,18,27.2,29.9,28.2,26.1,6,18.57
2/01/2007 4:50,15.6,235,14,75.98,1002.8,1006.2,1006.4,0,81.6,3,13,27,29.8,28.2,26.1,6,18.86
2/01/2007 5:00,15.4,252,12,76.02,1002.8,1006.2,1006.4,0,80.7,2,18,27,29.8,28.2,26,5,18.74
2/01/2007 5:10,15.2,237,7,76.07,1002.8,1006.2,1006.4,0,80.5,3,7,26.8,29.7,28.2,26.1,5,18.66
2/01/2007 5:20,15,236,0,76.08,1002.8,1006.2,1006.4,0,80.5,0,8,26.8,29.7,28.2,26.1,3,18.44
2/01/2007 5:30,14.8,236,0,76.09,1002.6,1006,1006.2,0,81.8,0,22,26.7,29.7,28.2,26.1,0,18
2/01/2007 5:40,14.9,143,77,76.12,1002.9,1006.4,1006.5,0,83.3,2,18,26.6,29.6,28.2,26.1,4,17.74
2/01/2007 5:50,14.9,70,6,76.17,1002.9,1006.4,1006.5,0,85.2,4,28,26.5,29.6,28.2,26.1,6,17.46
2/01/2007 6:00,15.3,63,8,76.22,1003,1006.5,1006.6,0,87.1,5,42,26.4,29.5,28.2,26.1,6,17.46
2/01/2007 6:10,15.7,53,9,76.27,1003.3,1006.8,1006.9,0,88.1,5,41,26.4,29.5,28.2,26.1,7,17.66
2/01/2007 6:20,15.9,61,10,76.32,1002.9,1006.3,1006.5,0,87.9,5,64,26.3,29.5,28.2,26.1,7,17.89
2/01/2007 6:30,16,48,11,76.38,1003,1006.4,1006.6,0,87.1,5,94,26.2,29.4,28.2,26.1,7,18.16
2/01/2007 6:40,16,40,10,76.44,1003.4,1006.8,1007,0,86,4,114,26.1,29.4,28.2,26.1,7,18.34
2/01/2007 6:50,16,35,13,76.51,1003.7,1007.1,1007.3,0,85.1,4,143,26.1,29.4,28.2,26.1,5,18.58
2/01/2007 7:00,16.2,29,14,76.6,1003.9,1007.3,1007.5,0,83.8,5,178,26,29.3,28.2,26.1,7,19.04
2/01/2007 7:10,16.1,25,20,76.68,1004.1,1007.5,1007.7,0,82.1,4,162,25.9,29.3,28.2,26.1,6,19.28
2/01/2007 7:20,16.2,26,15,76.78,1004,1007.4,1007.6,0,80.9,5,155,25.9,29.3,28.2,26.1,6,19.53
2/01/2007 7:30,16.1,17,15,76.9,1003.9,1007.3,1007.5,0,79.7,5,233,25.9,29.2,28.2,26.1,7,19.74
2/01/2007 7:40,15.9,32,16,77.05,1003.7,1007.1,1007.3,0,76.4,6,246,25.8,29.2,28.2,26.1,9,20.21
2/01/2007 7:50,16.1,43,12,77.25,1003.5,1006.9,1007.1,0,75.8,7,427,25.8,29.1,28.2,26.1,9,20.52
2/01/2007 8:00,15.7,41,16,77.41,1003.6,1007,1007.2,0,74.3,6,235,25.8,29.1,28.2,26.1,9,20.4
2/01/2007 8:10,15.7,27,20,77.58,1003.6,1007,1007.2,0,72.5,6,239,25.8,29,28.2,26.1,9,20.79
2/01/2007 8:20,16,24,17,77.77,1003.5,1006.9,1007.1,0,71.5,6,296,25.8,29,28.2,26.1,8,21.37
2/01/2007 8:30,15.5,17,20,77.97,1003.4,1006.8,1007,0,70.4,7,171,25.8,29,28.2,26.1,9,21.08
2/01/2007 8:40,15.6,13,21,78.16,1003.2,1006.6,1006.8,0,70.6,6,250,25.8,28.9,28.2,26.1,9,21.17
2/01/2007 8:50,15.4,9,21,78.34,1003.3,1006.7,1006.9,0,69.5,6,173,25.9,28.9,28.2,26.1,9,21.16
2/01/2007 9:00,15.4,11,18,78.49,1003.4,1006.8,1007,0,70.2,5,119,26,28.9,28.2,26.1,8,21
2/01/2007 9:10,15.5,357,46,78.59,1003.3,1006.7,1006.9,0,70.6,3,72,26,28.8,28.2,26.1,6,21.02
2/01/2007 9:20,15.8,269,26,78.74,1003.1,1006.5,1006.7,0,73,5,211,26.1,28.8,28.2,26.1,7,20.84
2/01/2007 9:30,15.9,222,27,78.89,1003.1,1006.5,1006.7,0,72.2,4,298,26.1,28.8,28.2,26.1,6,21.06
2/01/2007 9:40,15.1,242,39,79.02,1003,1006.4,1006.6,0,67.6,2,386,26.2,28.7,28.2,26.1,5,21.31
2/01/2007 9:50,15.1,309,26,79.18,1002.9,1006.3,1006.5,0,65.6,3,355,26.2,28.7,28.2,26.1,5,21.78
2/01/2007 10:00,14.8,291,41,79.37,1002.9,1006.3,1006.5,0,64,4,333,26.3,28.6,28.2,26.1,6,21.92
2/01/2007 10:10,14.7,275,26,79.57,1002.9,1006.3,1006.5,0,62.4,4,357,26.4,28.6,28.2,26.1,6,22.27
2/01/2007 10:20,14.7,288,35,79.78,1002.8,1006.2,1006.4,0,62.6,5,266,26.4,28.6,28.2,26.1,8,22.15
2/01/2007 10:30,15.2,321,33,79.99,1002.8,1006.2,1006.4,0,63.6,4,450,26.5,28.5,28.2,26.1,6,22.41
2/01/2007 10:40,14.4,242,37,80.22,1002.7,1006.1,1006.3,0,59.2,4,434,26.6,28.5,28.2,26.1,6,22.8
2/01/2007 10:50,14.1,285,30,80.52,1002.7,1006.1,1006.3,0,56.8,6,394,26.7,28.5,28.2,26.1,9,23.12
2/01/2007 11:00,14.1,267,33,80.88,1002.5,1005.9,1006.1,0,56.3,6,737,26.8,28.5,28.2,26.1,10,23.28
2/01/2007 11:10,14.5,257,34,81.22,1002.6,1006,1006.2,0,55.6,6,601,26.9,28.4,28.2,26.1,10,23.93
2/01/2007 11:20,13.7,293,27,81.55,1002.6,1006,1006.2,0,54.5,7,306,27,28.4,28.2,26.1,10,23.41
2/01/2007 11:30,13.9,286,26,81.85,1002.7,1006.1,1006.3,0,57.5,7,250,27.1,28.4,28.2,26.1,11,22.71
2/01/2007 11:40,14.3,265,24,82.13,1002.5,1005.9,1006.1,0,60.1,7,226,27.2,28.4,28.2,26.1,11,22.41
2/01/2007 11:50,14.9,260,23,82.32,1002.6,1006,1006.2,0.3,69.7,7,141,27.4,28.3,28.2,26.1,11,20.58
2/01/2007 12:00,17.1,248,19,82.49,1002.6,1006,1006.2,0.3,80.9,6,499,27.5,28.3,28.2,26.1,9,20.46
2/01/2007 12:10,18,257,23,82.65,1002.7,1006.1,1006.3,0.3,81.1,6,457,27.7,28.3,28.2,26.1,11,21.4
2/01/2007 12:20,17.3,251,27,82.89,1002.4,1005.8,1006,0.3,74.4,7,612,27.8,28.3,28.2,26.1,10,22.08
2/01/2007 12:30,16.9,268,28,83.27,1002.4,1005.8,1006,0.3,68.9,8,1059,27.9,28.2,28.2,26.1,12,22.88
2/01/2007 12:40,16.2,214,65,83.55,1002.3,1005.7,1005.9,0.3,67.2,7,517,28,28.2,28.1,26.1,13,22.58
2/01/2007 12:50,15.2,265,30,83.86,1002.1,1005.5,1005.7,0.3,62.8,7,522,28.1,28.2,28.1,26.1,12,22.62
2/01/2007 13:00,14.5,268,30,84.25,1001.8,1005.2,1005.4,0.3,57.8,7,833,28.1,28.2,28.1,26.1,11,23.29
2/01/2007 13:10,13.7,265,26,84.65,1001.8,1005.2,1005.4,0.3,54.3,8,510,28.2,28.2,28.1,26.1,12,23.45
2/01/2007 13:20,12.9,258,26,85.08,1001.7,1005.1,1005.3,0.3,53,9,455,28.3,28.2,28.1,26.1,15,23.03
2/01/2007 13:30,13.7,252,25,85.48,1001.4,1004.8,1005,0.3,55.7,8,570,28.4,28.2,28.1,26.1,15,23.08
2/01/2007 13:40,13.9,267,24,85.91,1001.5,1004.9,1005.1,0.3,55.5,9,574,28.4,28.2,28.1,26.1,17,23.3
2/01/2007 13:50,13,271,29,86.36,1001.6,1005,1005.2,0.3,52.8,9,529,28.5,28.1,28.1,26.1,15,23.15
2/01/2007 14:00,13.2,278,25,86.75,1001.7,1005.1,1005.3,0.3,54.8,9,315,28.6,28.2,28.1,26.1,13,22.79
2/01/2007 14:10,13.4,275,24,87.08,1001.6,1005,1005.2,0.3,55.6,7,361,28.7,28.1,28.1,26.1,11,22.7
2/01/2007 14:20,14.6,258,26,87.41,1001.5,1004.9,1005.1,0.3,57.8,6,640,28.8,28.1,28.1,26.1,10,23.37
2/01/2007 14:30,13.1,276,25,87.82,1001.4,1004.8,1005,0.3,51.4,7,672,28.9,28.1,28.1,26.1,13,23.71
2/01/2007 14:40,13,261,30,88.25,1001.4,1004.8,1005,0.3,51,8,562,29,28.1,28.1,26.1,12,23.79
2/01/2007 14:50,12.6,267,28,88.66,1001.2,1004.6,1004.8,0.3,50.9,8,414,29.1,28.1,28.1,26.1,13,23.29
2/01/2007 15:00,14.5,260,29,88.98,1001,1004.4,1004.6,0.3,60.3,8,346,29.2,28.1,28.1,26.1,14,22.63
2/01/2007 15:10,14.4,245,26,89.28,1001.2,1004.6,1004.8,0.3,61.8,8,290,29.3,28.1,28.1,26.1,12,22.1
2/01/2007 15:20,14.7,238,25,89.53,1001.1,1004.5,1004.7,0.3,64.4,7,269,29.4,28.1,28.1,26.1,11,21.7
2/01/2007 15:30,14.9,248,30,89.74,1001.2,1004.6,1004.8,0.3,66.1,7,89,29.5,28.1,28,26.1,12,21.53
2/01/2007 15:40,16.1,259,24,89.88,1001.4,1004.8,1005,3.3,84.7,11,131,29.7,28.1,28,26.1,17,18.77
2/01/2007 15:50,17,252,22,89.96,1001.3,1004.7,1004.9,3.3,91.1,10,184,29.7,28.1,28.1,26.1,17,18.48
2/01/2007 16:00,17,245,24,90.01,1001.3,1004.7,1004.9,3.3,93,8,144,29.8,28.1,28,26.1,14,18.15
2/01/2007 16:10,16.8,232,32,90.06,1001.3,1004.7,1004.9,3.3,93,7,147,29.8,28.1,28,26.1,11,17.92
2/01/2007 16:20,17.1,209,29,90.1,1001.3,1004.7,1004.9,3.3,93.8,6,148,29.8,28.1,28,26.1,9,18.13
2/01/2007 16:30,17,196,25,90.13,1001.6,1005,1005.2,3.3,94.8,6,114,29.7,28.2,28,26.1,10,17.82
2/01/2007 16:40,17.2,178,17,90.15,1001.4,1004.8,1005,3.3,95.6,4,92,29.5,28.2,28,26.1,7,17.94
2/01/2007 16:50,16.8,184,19,90.17,1001.3,1004.7,1004.9,3.3,95.1,4,117,29.4,28.2,28,26.1,7,17.64
2/01/2007 17:00,16.6,201,32,90.2,1001.6,1005,1005.2,3.3,93.8,5,85,29.2,28.2,28,26.1,8,17.57
2/01/2007 17:10,16.6,206,22,90.22,1001.6,1005,1005.2,3.3,93.8,4,82,29.1,28.2,28,26.1,8,17.66
2/01/2007 17:20,16.3,199,25,90.25,1001.6,1005,1005.2,3.3,93.4,4,94,28.9,28.2,28,26.1,7,17.4
2/01/2007 17:30,16.4,195,19,90.28,1001.4,1004.8,1005,3.3,93,4,98,28.8,28.2,28,26.1,7,17.56
2/01/2007 17:40,16.5,173,16,90.31,1001.6,1005,1005.2,3.3,93.1,4,90,28.6,28.2,28,26.1,7,17.67
2/01/2007 17:50,16.5,160,20,90.33,1001.7,1005.1,1005.3,3.3,92.5,4,45,28.4,28.2,28,26.1,6,17.74
2/01/2007 18:00,16.3,149,18,90.35,1001.8,1005.2,1005.4,3.3,91.9,4,48,28.3,28.2,28,26.1,6,17.64
2/01/2007 18:10,16.3,138,12,90.38,1001.7,1005.1,1005.3,3.3,91.6,4,60,28.2,28.2,28,26.1,6,17.65
2/01/2007 18:20,16.1,160,20,90.41,1002.1,1005.5,1005.7,3.3,91.4,4,40,28,28.3,28,26.1,5,17.56
2/01/2007 18:30,16.2,164,14,90.44,1001.8,1005.2,1005.4,3.3,91.4,4,49,27.9,28.2,28,26.1,6,17.64
2/01/2007 18:40,15.8,173,15,90.48,1002,1005.5,1005.6,3.3,90,5,48,27.8,28.3,28,26.1,7,17.46
2/01/2007 18:50,15.7,164,16,90.51,1001.8,1005.3,1005.4,3.3,89.5,4,29,27.6,28.3,27.9,26.1,8,17.45
